index,Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf,Latitude,Longitude
26,Asha Nagar,"Rs.15,215 - 17,128/sq. ft.","15,215 - 17,128",15215.0,17128.0,16171.5,2.14%,"Rs.16,940 - 19,111","16,940 - 19,111",16940.0,19111.0,18025.5,111%,"Rs.23,264 - 25,923","23,264 - 25,923",23264.0,25923.0,24593.5,152%,"Rs.30,573 - 35,350","30,573 - 35,350",30573.0,35350.0,32961.5,204%,19.1691976,72.9446053
27,Asha Nagar,"Rs.14,578 - 18,020/sq. ft.","14,578 - 18,020",14578.0,18020.0,16299.0,,,,,,,,,,,,,,,,,,,,19.1691976,72.9446053
28,Atgaon,"Rs.3,272 - 3,868/sq. ft.","3,272 - 3,868",3272.0,3868.0,3570.0,,,,,,,,,,,,,,,,,,,,,
29,Azad Nagar,"Rs.16,745 - 18,998/sq. ft.","16,745 - 18,998",16745.0,18998.0,17871.5,-1.17%,"Rs.22,366 - 26,474","22,366 - 26,474",22366.0,26474.0,24420.0,137%,"Rs.38,312 - 42,388","38,312 - 42,388",38312.0,42388.0,40350.0,226%,"Rs.53,984 - 62,772","53,984 - 62,772",53984.0,62772.0,58378.0,327%,19.1657976,72.955893
30,Babhai,"Rs.16,065 - 17,680/sq. ft.","16,065 - 17,680",16065.0,17680.0,16872.5,-1.24%,,,,,,,,,,,,,,,,,,,19.2308512,72.8476131
31,Badlapur,"Rs.3,060 - 3,570/sq. ft.","3,060 - 3,570",3060.0,3570.0,3315.0,-2.53%,"Rs.3,528 - 4,032","3,528 - 4,032",3528.0,4032.0,3780.0,114%,"Rs.4,360 - 5,814","4,360 - 5,814",4360.0,5814.0,5087.0,153%,,,,,,,,
32,Badlapur (East),"Rs.2,975 - 3,442/sq. ft.","2,975 - 3,442",2975.0,3442.0,3208.5,-1.32%,"Rs.2,830 - 3,774","2,830 - 3,774",2830.0,3774.0,3302.0,103%,"Rs.5,022 - 5,739","5,022 - 5,739",5022.0,5739.0,5380.5,168%,,,,,,,,
33,Badlapur (West),"Rs.3,018 - 3,485/sq. ft.","3,018 - 3,485",3018.0,3485.0,3251.5,-3.8%,"Rs.3,131 - 4,175","3,131 - 4,175",3131.0,4175.0,3653.0,112%,"Rs.4,529 - 6,038","4,529 - 6,038",4529.0,6038.0,5283.5,162%,,,,,,,,
34,Balkum,"Rs.8,628 - 9,775/sq. ft.","8,628 - 9,775",8628.0,9775.0,9201.5,3.4%,"Rs.10,353 - 13,459","10,353 - 13,459",10353.0,13459.0,11906.0,129%,,,,,,,,,,,,,,
35,Bandra (East),"Rs.24,140 - 31,068/sq. ft.","24,140 - 31,068",24140.0,31068.0,27604.0,-2.22%,,,,,,,"Rs.57,800 - 67,150","57,800 - 67,150",57800.0,67150.0,62475.0,226%,,,,,,,19.0616565,72.8498111
