Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf
Andheri (East),"Rs.15,470 - 18,148/sq. ft.","15,470 - 18,148",15470,18148,16809,4.5%,"Rs.23,842 - 27,115","23,842 - 27,115",23842,27115,25478.5,152%,"Rs.36,832 - 42,437","36,832 - 42,437",36832,42437,39634.5,236%,"Rs.50,517 - 59,303","50,517 - 59,303",50517,59303,54910,327%
Andheri (West),"Rs.18,785 - 23,332/sq. ft.","18,785 - 23,332",18785,23332,21058.5,,"Rs.22,440 - 28,985","22,440 - 28,985",22440,28985,25712.5,122%,"Rs.36,834 - 46,238","36,834 - 46,238",36834,46238,41536,197%,"Rs.58,393 - 73,885","58,393 - 73,885",58393,73885,66139,314%
Anjurdive,"Rs.6,885 - 7,438/sq. ft.","6,885 - 7,438",6885,7438,7161.5,12.08%,,,,,,,,,,,,,,,,,,
Asangaon,"Rs.2,720 - 3,315/sq. ft.","2,720 - 3,315",2720,3315,3017.5,-1.43%,,,,,,,,,,,,,,,,,,
Asara Colony,"Rs.14,280 - 16,362/sq. ft.","14,280 - 16,362",14280,16362,15321,,,,,,,,,,,,,,,,,,,
Asha Nagar,"Rs.15,215 - 17,128/sq. ft.","15,215 - 17,128",15215,17128,16171.5,2.14%,"Rs.16,940 - 19,111","16,940 - 19,111",16940,19111,18025.5,111%,"Rs.23,264 - 25,923","23,264 - 25,923",23264,25923,24593.5,152%,"Rs.30,573 - 35,350","30,573 - 35,350",30573,35350,32961.5,204%
Asha Nagar,"Rs.14,578 - 18,020/sq. ft.","14,578 - 18,020",14578,18020,16299,,,,,,,,,,,,,,,,,,,
Atgaon,"Rs.3,272 - 3,868/sq. ft.","3,272 - 3,868",3272,3868,3570,,,,,,,,,,,,,,,,,,,
Azad Nagar,"Rs.16,745 - 18,998/sq. ft.","16,745 - 18,998",16745,18998,17871.5,-1.17%,"Rs.22,366 - 26,474","22,366 - 26,474",22366,26474,24420,137%,"Rs.38,312 - 42,388","38,312 - 42,388",38312,42388,40350,226%,"Rs.53,984 - 62,772","53,984 - 62,772",53984,62772,58378,327%
Babhai,"Rs.16,065 - 17,680/sq. ft.","16,065 - 17,680",16065,17680,16872.5,-1.24%,,,,,,,,,,,,,,,,,,
