Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf
Orlem,"Rs.13,600 - 15,852/sq. ft.","13,600 - 15,852",13600,15852,14726,-11.83%,"Rs.19,242 - 21,075","19,242 - 21,075",19242,21075,20158.5,137%,"Rs.25,823 - 31,725","25,823 - 31,725",25823,31725,28774,195%,,,,,,
Owale,"Rs.7,480 - 8,330/sq. ft.","7,480 - 8,330",7480,8330,7905,1.09%,"Rs.8,476 - 10,360","8,476 - 10,360",8476,10360,9418,119%,"Rs.11,603 - 15,016","11,603 - 15,016",11603,15016,13309.5,168%,,,,,,
Owe Village,"Rs.5,695 - 6,588/sq. ft.","5,695 - 6,588",5695,6588,6141.5,,,,,,,,,,,,,,,,,,,
Pali Hill,"Rs.34,935 - 43,605/sq. ft.","34,935 - 43,605",34935,43605,39270,-2.32%,"Rs.48,450 - 57,630","48,450 - 57,630",48450,57630,53040,135%,"Rs.74,800 - 90,100","74,800 - 90,100",74800,90100,82450,210%,"Rs.1,58,413 - 2,07,917","1,58,413 - 2,07,917",158413,207917,183165,466%
Pali Village,"Rs.34,212 - 39,738/sq. ft.","34,212 - 39,738",34212,39738,36975,-6.52%,,,,,,,"Rs.71,540 - 86,156","71,540 - 86,156",71540,86156,78848,213%,,,,,,
Palm Beach,"Rs.16,320 - 19,422/sq. ft.","16,320 - 19,422",16320,19422,17871,7.63%,"Rs.15,343 - 18,133","15,343 - 18,133",15343,18133,16738,94%,"Rs.28,179 - 37,866","28,179 - 37,866",28179,37866,33022.5,185%,"Rs.44,625 - 54,825","44,625 - 54,825",44625,54825,49725,278%
Panch Pakhadi,"Rs.12,028 - 13,472/sq. ft.","12,028 - 13,472",12028,13472,12750,-5.45%,"Rs.16,266 - 18,299","16,266 - 18,299",16266,18299,17282.5,136%,"Rs.22,610 - 26,648","22,610 - 26,648",22610,26648,24629,193%,,,,,,
Panchkutir Ganesh Nagar,"Rs.28,305 - 32,980/sq. ft.","28,305 - 32,980",28305,32980,30642.5,-4.79%,,,,,,,"Rs.63,250 - 68,116","63,250 - 68,116",63250,68116,65683,214%,,,,,,
Pandurangwadi,"Rs.6,672 - 7,990/sq. ft.","6,672 - 7,990",6672,7990,7331,,,,,,,,,,,,,,,,,,,
Pant Nagar,"Rs.14,875 - 18,318/sq. ft.","14,875 - 18,318",14875,18318,16596.5,7.82%,"Rs.19,201 - 21,552","19,201 - 21,552",19201,21552,20376.5,123%,,,,,,,"Rs.52,224 - 58,752","52,224 - 58,752",52224,58752,55488,334%
Panvel,"Rs.5,950 - 6,885/sq. ft.","5,950 - 6,885",5950,6885,6417.5,2.03%,"Rs.7,021 - 8,526","7,021 - 8,526",7021,8526,7773.5,121%,"Rs.10,873 - 12,546","10,873 - 12,546",10873,12546,11709.5,182%,"Rs.13,658 - 17,072","13,658 - 17,072",13658,17072,15365,239%
Parel,"Rs.23,588 - 29,538/sq. ft.","23,588 - 29,538",23588,29538,26563,8.47%,"Rs.28,532 - 34,494","28,532 - 34,494",28532,34494,31513,119%,"Rs.62,832 - 72,352","62,832 - 72,352",62832,72352,67592,254%,"Rs.87,210 - 1,07,559","87,210 - 1,07,559",87210,107559,97384.5,367%
Parmanand Wadi,"Rs.22,780 - 24,182/sq. ft.","22,780 - 24,182",22780,24182,23481,0.37%,,,,,,,"Rs.62,944 - 69,620","62,944 - 69,620",62944,69620,66282,282%,"Rs.88,358 - 96,390","88,358 - 96,390",88358,96390,92374,393%
Parsik Nagar,"Rs.7,948 - 8,670/sq. ft.","7,948 - 8,670",7948,8670,8309,2.11%,"Rs.10,710 - 11,246","10,710 - 11,246",10710,11246,10978,132%,"Rs.13,728 - 16,150","13,728 - 16,150",13728,16150,14939,180%,,,,,,
Patlipada,"Rs.9,478 - 11,815/sq. ft.","9,478 - 11,815",9478,11815,10646.5,-9.42%,"Rs.12,852 - 15,708","12,852 - 15,708",12852,15708,14280,134%,"Rs.18,062 - 20,952","18,062 - 20,952",18062,20952,19507,183%,"Rs.29,504 - 32,908","29,504 - 32,908",29504,32908,31206,293%
Peddar Road,"Rs.46,070 - 54,018/sq. ft.","46,070 - 54,018",46070,54018,50044,3.27%,,,,,,,"Rs.93,745 - 1,06,189","93,745 - 1,06,189",93745,106189,99967,200%,,,,,,
Pendse Nagar,"Rs.5,695 - 6,545/sq. ft.","5,695 - 6,545",5695,6545,6120,,,,,,,,,,,,,,,,,,,
Pestom Sagar Colony,"Rs.13,940 - 18,445/sq. ft.","13,940 - 18,445",13940,18445,16192.5,-7.46%,"Rs.18,870 - 24,480","18,870 - 24,480",18870,24480,21675,134%,"Rs.31,068 - 36,125","31,068 - 36,125",31068,36125,33596.5,207%,,,,,,
Petali,"Rs.4,590 - 5,440/sq. ft.","4,590 - 5,440",4590,5440,5015,-3.97%,"Rs.4,590 - 5,100","4,590 - 5,100",4590,5100,4845,97%,,,,,,,,,,,,
Phase-1 Petali,"Rs.4,420 - 5,142/sq. ft.","4,420 - 5,142",4420,5142,4781,-6.56%,"Rs.4,720 - 4,720","4,720 - 4,720",4720,4720,4720,99%,,,,,,,,,,,,
Pokharan Road,"Rs.10,795 - 12,028/sq. ft.","10,795 - 12,028",10795,12028,11411.5,-1.49%,,,,,,,"Rs.18,514 - 22,539","18,514 - 22,539",18514,22539,20526.5,180%,,,,,,
Pokhran-2,"Rs.10,838 - 12,070/sq. ft.","10,838 - 12,070",10838,12070,11454,1.13%,"Rs.14,356 - 15,792","14,356 - 15,792",14356,15792,15074,132%,"Rs.21,038 - 25,245","21,038 - 25,245",21038,25245,23141.5,202%,"Rs.28,050 - 31,556","28,050 - 31,556",28050,31556,29803,260%
Poonam Gardens,"Rs.7,735 - 9,010/sq. ft.","7,735 - 9,010",7735,9010,8372.5,-3.96%,,,,,,,,,,,,,,,,,,
Poonam Nagar,"Rs.8,840 - 9,435/sq. ft.","8,840 - 9,435",8840,9435,9137.5,,,,,,,,,,,,,,,,,,,
Poonam Sagar Complex,"Rs.8,500 - 9,180/sq. ft.","8,500 - 9,180",8500,9180,8840,-0.94%,,,,,,,,,,,,,,,,,,
Powai,"Rs.16,618 - 20,358/sq. ft.","16,618 - 20,358",16618,20358,18488,1.43%,"Rs.26,255 - 30,631","26,255 - 30,631",26255,30631,28443,154%,"Rs.41,862 - 50,235","41,862 - 50,235",41862,50235,46048.5,249%,,,,,,
Prabhadevi,"Rs.31,960 - 38,208/sq. ft.","31,960 - 38,208",31960,38208,35084,-3.91%,"Rs.26,334 - 31,295","26,334 - 31,295",26334,31295,28814.5,82%,"Rs.68,493 - 86,700","68,493 - 86,700",68493,86700,77596.5,221%,"Rs.1,35,830 - 1,76,290","1,35,830 - 1,76,290",135830,176290,156060,445%
Pushpa Park,"Rs.13,472 - 16,532/sq. ft.","13,472 - 16,532",13472,16532,15002,,,,,,,,,,,,,,,,,,,
Rabale,"Rs.7,650 - 9,222/sq. ft.","7,650 - 9,222",7650,9222,8436,,,,,,,,"Rs.20,311 - 22,568","20,311 - 22,568",20311,22568,21439.5,254%,,,,,,
Radha Nagar,"Rs.5,780 - 6,460/sq. ft.","5,780 - 6,460",5780,6460,6120,,,,,,,,,,,,,,,,,,,
Raheja Vihar,"Rs.16,065 - 17,000/sq. ft.","16,065 - 17,000",16065,17000,16532.5,-2.99%,"Rs.26,163 - 29,070","26,163 - 29,070",26163,29070,27616.5,167%,"Rs.38,212 - 42,458","38,212 - 42,458",38212,42458,40335,244%,"Rs.53,550 - 58,650","53,550 - 58,650",53550,58650,56100,339%
Rajiv Gandhi Nagar,"Rs.13,132 - 14,152/sq. ft.","13,132 - 14,152",13132,14152,13642,1.91%,"Rs.20,884 - 23,371","20,884 - 23,371",20884,23371,22127.5,162%,"Rs.26,732 - 31,790","26,732 - 31,790",26732,31790,29261,214%,,,,,,
Rambaug,"Rs.6,078 - 7,268/sq. ft.","6,078 - 7,268",6078,7268,6673,10.34%,,,,,,,,,,,,,,,,,,
Ramdev Park,"Rs.7,352 - 7,905/sq. ft.","7,352 - 7,905",7352,7905,7628.5,3.43%,,,,,,,,,,,,,,,,,,
Rameshwadi,"Rs.3,188 - 3,782/sq. ft.","3,188 - 3,782",3188,3782,3485,3.8%,,,,,,,,,,,,,,,,,,
Ranjanpada,"Rs.7,055 - 7,862/sq. ft.","7,055 - 7,862",7055,7862,7458.5,0%,,,,,,,,,,,,,,,,,,
Rasayani,"Rs.3,060 - 3,782/sq. ft.","3,060 - 3,782",3060,3782,3421,13.7%,,,,,,,,,,,,,,,,,,
Rawalpada,"Rs.10,582 - 11,858/sq. ft.","10,582 - 11,858",10582,11858,11220,-3.01%,"Rs.12,376 - 13,702","12,376 - 13,702",12376,13702,13039,116%,,,,,,,,,,,,
RCF Colony Chembur,"Rs.16,022 - 18,360/sq. ft.","16,022 - 18,360",16022,18360,17191,-4.5%,,,,,,,"Rs.30,880 - 38,968","30,880 - 38,968",30880,38968,34924,203%,,,,,,
Roadpali,"Rs.6,120 - 6,715/sq. ft.","6,120 - 6,715",6120,6715,6417.5,1.35%,"Rs.7,735 - 8,840","7,735 - 8,840",7735,8840,8287.5,129%,"Rs.10,710 - 11,602","10,710 - 11,602",10710,11602,11156,174%,,,,,,
Sadan Wadi,"Rs.13,515 - 14,152/sq. ft.","13,515 - 14,152",13515,14152,13833.5,,,,,,,,,,,,,,,,,,,
Sagaon,"Rs.3,570 - 4,208/sq. ft.","3,570 - 4,208",3570,4208,3889,-4.26%,,,,,,,,,,,,,,,,,,
Sahayog Nagar,"Rs.19,465 - 20,910/sq. ft.","19,465 - 20,910",19465,20910,20187.5,-2.25%,,,,,,,,,,,,,"Rs.53,550 - 55,930","53,550 - 55,930",53550,55930,54740,271%
Sai Nagar,"Rs.8,118 - 9,052/sq. ft.","8,118 - 9,052",8118,9052,8585,1.52%,"Rs.10,622 - 13,036","10,622 - 13,036",10622,13036,11829,138%,"Rs.13,114 - 14,494","13,114 - 14,494",13114,14494,13804,161%,,,,,,
Saibaba Nagar,"Rs.15,852 - 17,255/sq. ft.","15,852 - 17,255",15852,17255,16553.5,1.03%,"Rs.15,351 - 17,105","15,351 - 17,105",15351,17105,16228,98%,,,,,,,,,,,,
Sainath Nagar,"Rs.9,945 - 10,965/sq. ft.","9,945 - 10,965",9945,10965,10455,2.07%,"Rs.14,756 - 16,660","14,756 - 16,660",14756,16660,15708,150%,"Rs.20,591 - 23,062","20,591 - 23,062",20591,23062,21826.5,209%,"Rs.28,050 - 31,875","28,050 - 31,875",28050,31875,29962.5,287%
Sakinaka,"Rs.13,558 - 14,705/sq. ft.","13,558 - 14,705",13558,14705,14131.5,4.11%,"Rs.26,648 - 30,378","26,648 - 30,378",26648,30378,28513,202%,"Rs.37,101 - 41,317","37,101 - 41,317",37101,41317,39209,277%,"Rs.48,659 - 55,610","48,659 - 55,610",48659,55610,52134.5,369%
Samata Nagar,"Rs.12,155 - 12,708/sq. ft.","12,155 - 12,708",12155,12708,12431.5,5.76%,"Rs.15,664 - 17,046","15,664 - 17,046",15664,17046,16355,132%,"Rs.23,460 - 25,806","23,460 - 25,806",23460,25806,24633,198%,"Rs.28,846 - 31,936","28,846 - 31,936",28846,31936,30391,244%
Samta Nagar,"Rs.13,005 - 14,662/sq. ft.","13,005 - 14,662",13005,14662,13833.5,8.22%,,,,,,,"Rs.17,304 - 21,481","17,304 - 21,481",17304,21481,19392.5,140%,,,,,,
Sangeeta Wadi,"Rs.6,248 - 7,948/sq. ft.","6,248 - 7,948",6248,7948,7098,,,,,,,,,,,,,,,,,,,
Sankalp Colony,"Rs.17,680 - 18,148/sq. ft.","17,680 - 18,148",17680,18148,17914,,,,,,,,,,,,,,,,,,,
Sanpada,"Rs.12,282 - 14,280/sq. ft.","12,282 - 14,280",12282,14280,13281,-1.9%,"Rs.15,895 - 18,700","15,895 - 18,700",15895,18700,17297.5,130%,"Rs.25,032 - 30,685","25,032 - 30,685",25032,30685,27858.5,210%,"Rs.39,270 - 49,980","39,270 - 49,980",39270,49980,44625,336%
Santacruz (East),"Rs.18,062 - 21,208/sq. ft.","18,062 - 21,208",18062,21208,19635,0.88%,"Rs.27,132 - 30,524","27,132 - 30,524",27132,30524,28828,147%,"Rs.40,185 - 47,008","40,185 - 47,008",40185,47008,43596.5,222%,"Rs.60,294 - 70,689","60,294 - 70,689",60294,70689,65491.5,334%
Santacruz (West),"Rs.29,750 - 36,125/sq. ft.","29,750 - 36,125",29750,36125,32937.5,-1.25%,,,,,,,"Rs.58,385 - 72,981","58,385 - 72,981",58385,72981,65683,199%,"Rs.93,266 - 1,16,280","93,266 - 1,16,280",93266,116280,104773,318%
Satya Nagar,"Rs.16,448 - 19,890/sq. ft.","16,448 - 19,890",16448,19890,18169,,,,,,,,"Rs.27,068 - 30,349","27,068 - 30,349",27068,30349,28708.5,158%,,,,,,
Seawoods,"Rs.10,838 - 13,218/sq. ft.","10,838 - 13,218",10838,13218,12028,2.91%,"Rs.12,619 - 15,046","12,619 - 15,046",12619,15046,13832.5,115%,"Rs.23,317 - 31,090","23,317 - 31,090",23317,31090,27203.5,226%,"Rs.39,218 - 50,037","39,218 - 50,037",39218,50037,44627.5,371%
Sector 1 Charkop,"Rs.13,175 - 15,002/sq. ft.","13,175 - 15,002",13175,15002,14088.5,,,,,,,,,,,,,,,,,,,
Sector 1 Sanpada,"Rs.10,582 - 12,028/sq. ft.","10,582 - 12,028",10582,12028,11305,2.31%,"Rs.15,317 - 18,470","15,317 - 18,470",15317,18470,16893.5,149%,"Rs.20,658 - 22,872","20,658 - 22,872",20658,22872,21765,193%,,,,,,
Sector 10 Kamothe,"Rs.5,610 - 6,758/sq. ft.","5,610 - 6,758",5610,6758,6184,2.8%,,,,,,,,,,,,,,,,,,
Sector 10 Kharghar,"Rs.7,820 - 8,882/sq. ft.","7,820 - 8,882",7820,8882,8351,0.51%,"Rs.9,642 - 10,656","9,642 - 10,656",9642,10656,10149,122%,"Rs.16,157 - 18,850","16,157 - 18,850",16157,18850,17503.5,210%,"Rs.21,458 - 27,770","21,458 - 27,770",21458,27770,24614,295%
Sector 11 Belapur,"Rs.9,478 - 11,305/sq. ft.","9,478 - 11,305",9478,11305,10391.5,-0.43%,"Rs.13,196 - 13,685","13,196 - 13,685",13196,13685,13440.5,129%,,,,,,,,,,,,
Sector 11 Kamothe,"Rs.6,418 - 7,310/sq. ft.","6,418 - 7,310",6418,7310,6864,-4.14%,,,,,,,,,,,,,,,,,,
Sector 11 Kharghar,"Rs.7,820 - 9,010/sq. ft.","7,820 - 9,010",7820,9010,8415,0.49%,"Rs.9,200 - 10,455","9,200 - 10,455",9200,10455,9827.5,117%,"Rs.14,535 - 18,360","14,535 - 18,360",14535,18360,16447.5,195%,,,,,,
Sector 11 Koparkhairane,"Rs.11,135 - 13,005/sq. ft.","11,135 - 13,005",11135,13005,12070,11.11%,"Rs.13,540 - 15,797","13,540 - 15,797",13540,15797,14668.5,122%,"Rs.20,995 - 25,840","20,995 - 25,840",20995,25840,23417.5,194%,"Rs.28,688 - 37,868","28,688 - 37,868",28688,37868,33278,276%
Sector 12 Kharghar,"Rs.8,372 - 9,648/sq. ft.","8,372 - 9,648",8372,9648,9010,0.95%,"Rs.9,877 - 12,346","9,877 - 12,346",9877,12346,11111.5,123%,"Rs.17,000 - 18,700","17,000 - 18,700",17000,18700,17850,198%,"Rs.22,185 - 27,115","22,185 - 27,115",22185,27115,24650,274%
Sector 13 Sanpada,"Rs.11,475 - 13,048/sq. ft.","11,475 - 13,048",11475,13048,12261.5,,"Rs.13,260 - 15,470","13,260 - 15,470",13260,15470,14365,117%,,,,,,,,,,,,
Sector 14 Kamothe,"Rs.5,780 - 6,460/sq. ft.","5,780 - 6,460",5780,6460,6120,,,,,,,,,,,,,,,,,,,
Sector 14 Kharghar,"Rs.9,562 - 11,518/sq. ft.","9,562 - 11,518",9562,11518,10540,6.96%,,,,,,,"Rs.16,333 - 17,888","16,333 - 17,888",16333,17888,17110.5,162%,,,,,,
Sector 14 Vashi,"Rs.14,620 - 18,572/sq. ft.","14,620 - 18,572",14620,18572,16596,4.09%,,,,,,,,,,,,,"Rs.30,464 - 40,256","30,464 - 40,256",30464,40256,35360,213%
Sector 15 Belapur,"Rs.10,412 - 12,750/sq. ft.","10,412 - 12,750",10412,12750,11581,5.95%,,,,,,,"Rs.24,650 - 28,900","24,650 - 28,900",24650,28900,26775,231%,"Rs.44,217 - 54,534","44,217 - 54,534",44217,54534,49375.5,426%
Sector 15 Kharghar,"Rs.8,882 - 9,520/sq. ft.","8,882 - 9,520",8882,9520,9201,-1.38%,,,,,,,"Rs.19,414 - 21,355","19,414 - 21,355",19414,21355,20384.5,222%,"Rs.22,063 - 25,740","22,063 - 25,740",22063,25740,23901.5,260%
Sector 15 Kopar Khairane,"Rs.9,775 - 10,965/sq. ft.","9,775 - 10,965",9775,10965,10370,2.95%,"Rs.11,648 - 15,046","11,648 - 15,046",11648,15046,13347,129%,"Rs.19,380 - 21,802","19,380 - 21,802",19380,21802,20591,199%,,,,,,
Sector 16 Kamothe,"Rs.6,332 - 7,140/sq. ft.","6,332 - 7,140",6332,7140,6736,-6.51%,,,,,,,"Rs.11,080 - 11,818","11,080 - 11,818",11080,11818,11449,170%,,,,,,
Sector 17 Ulwe,"Rs.6,502 - 7,268/sq. ft.","6,502 - 7,268",6502,7268,6885,1.25%,"Rs.4,529 - 5,535","4,529 - 5,535",4529,5535,5032,73%,"Rs.6,548 - 8,186","6,548 - 8,186",6548,8186,7367,107%,,,,,,
Sector 17 Vashi,"Rs.13,642 - 16,320/sq. ft.","13,642 - 16,320",13642,16320,14981,-9.79%,"Rs.17,340 - 20,910","17,340 - 20,910",17340,20910,19125,128%,"Rs.28,727 - 32,951","28,727 - 32,951",28727,32951,30839,206%,,,,,,
Sector 18 Kamothe,"Rs.6,545 - 7,225/sq. ft.","6,545 - 7,225",6545,7225,6885,1.89%,"Rs.7,561 - 8,065","7,561 - 8,065",7561,8065,7813,113%,"Rs.10,752 - 11,579","10,752 - 11,579",10752,11579,11165.5,162%,,,,,,
Sector 18 Kharghar,"Rs.7,480 - 8,542/sq. ft.","7,480 - 8,542",7480,8542,8011,-2.07%,"Rs.9,432 - 12,410","9,432 - 12,410",9432,12410,10921,136%,"Rs.14,520 - 16,133","14,520 - 16,133",14520,16133,15326.5,191%,"Rs.16,774 - 20,645","16,774 - 20,645",16774,20645,18709.5,234%
Sector 19 Kamothe,"Rs.6,248 - 6,970/sq. ft.","6,248 - 6,970",6248,6970,6609,6.12%,"Rs.7,446 - 8,935","7,446 - 8,935",7446,8935,8190.5,124%,"Rs.11,050 - 11,900","11,050 - 11,900",11050,11900,11475,174%,,,,,,
Sector 19 Kharghar,"Rs.7,735 - 8,882/sq. ft.","7,735 - 8,882",7735,8882,8308.5,-3.9%,"Rs.9,690 - 10,710","9,690 - 10,710",9690,10710,10200,123%,"Rs.15,592 - 18,343","15,592 - 18,343",15592,18343,16967.5,204%,"Rs.21,634 - 26,442","21,634 - 26,442",21634,26442,24038,289%
Sector 19 Nerul,"Rs.11,135 - 12,240/sq. ft.","11,135 - 12,240",11135,12240,11687.5,-2.48%,"Rs.14,408 - 15,848","14,408 - 15,848",14408,15848,15128,129%,"Rs.19,380 - 22,610","19,380 - 22,610",19380,22610,20995,180%,"Rs.21,187 - 24,076","21,187 - 24,076",21187,24076,22631.5,194%
Sector 19 Ulwe,"Rs.6,162 - 6,928/sq. ft.","6,162 - 6,928",6162,6928,6545,6.25%,,,,,,,"Rs.7,574 - 9,256","7,574 - 9,256",7574,9256,8415,129%,,,,,,
Sector 19A Nerul,"Rs.12,878 - 14,280/sq. ft.","12,878 - 14,280",12878,14280,13579,4.26%,"Rs.14,816 - 16,297","14,816 - 16,297",14816,16297,15556.5,115%,"Rs.21,917 - 26,788","21,917 - 26,788",21917,26788,24352.5,179%,,,,,,
Sector 2 Charkop,"Rs.12,538 - 13,642/sq. ft.","12,538 - 13,642",12538,13642,13090,1.68%,,,,,,,"Rs.18,945 - 20,975","18,945 - 20,975",18945,20975,19960,152%,,,,,,
Sector 2 Kharghar,"Rs.9,180 - 10,540/sq. ft.","9,180 - 10,540",9180,10540,9860,-0.43%,,,,,,,"Rs.17,000 - 20,400","17,000 - 20,400",17000,20400,18700,190%,"Rs.22,610 - 26,180","22,610 - 26,180",22610,26180,24395,247%
Sector 2 Ulwe,"Rs.6,078 - 7,310/sq. ft.","6,078 - 7,310",6078,7310,6694,0%,"Rs.4,938 - 5,926","4,938 - 5,926",4938,5926,5432,81%,"Rs.7,788 - 8,653","7,788 - 8,653",7788,8653,8220.5,123%,,,,,,
Sector 20 Airoli,"Rs.9,265 - 10,455/sq. ft.","9,265 - 10,455",9265,10455,9860,2.19%,"Rs.12,622 - 14,492","12,622 - 14,492",12622,14492,13557,137%,"Rs.18,360 - 23,715","18,360 - 23,715",18360,23715,21037.5,213%,,,,,,
Sector 20 Belapur,"Rs.7,480 - 8,798/sq. ft.","7,480 - 8,798",7480,8798,8139,-1.54%,"Rs.10,370 - 12,444","10,370 - 12,444",10370,12444,11407,140%,,,,,,,,,,,,
Sector 20 Kamothe,"Rs.6,248 - 6,842/sq. ft.","6,248 - 6,842",6248,6842,6545,4.05%,"Rs.7,650 - 8,160","7,650 - 8,160",7650,8160,7905,121%,"Rs.10,037 - 10,873","10,037 - 10,873",10037,10873,10455,160%,,,,,,
Sector 20 Kharghar,"Rs.7,862 - 8,968/sq. ft.","7,862 - 8,968",7862,8968,8415,0%,"Rs.9,945 - 10,940","9,945 - 10,940",9945,10940,10442.5,124%,"Rs.15,300 - 19,550","15,300 - 19,550",15300,19550,17425,207%,"Rs.22,139 - 24,599","22,139 - 24,599",22139,24599,23369,278%
Sector 20 Ulwe,"Rs.6,588 - 7,565/sq. ft.","6,588 - 7,565",6588,7565,7076.5,4.35%,"Rs.5,296 - 6,355","5,296 - 6,355",5296,6355,5825.5,82%,"Rs.9,640 - 11,393","9,640 - 11,393",9640,11393,10516.5,149%,,,,,,
Sector 21 Ghansoli,"Rs.8,160 - 9,010/sq. ft.","8,160 - 9,010",8160,9010,8585,7.57%,"Rs.10,285 - 11,688","10,285 - 11,688",10285,11688,10986.5,128%,"Rs.15,440 - 19,116","15,440 - 19,116",15440,19116,17278,201%,,,,,,
Sector 21 Kamothe,"Rs.6,290 - 7,140/sq. ft.","6,290 - 7,140",6290,7140,6715,0.65%,"Rs.7,116 - 8,641","7,116 - 8,641",7116,8641,7878.5,117%,"Rs.11,050 - 11,900","11,050 - 11,900",11050,11900,11475,171%,"Rs.14,851 - 15,994","14,851 - 15,994",14851,15994,15422.5,230%
Sector 21 Kharghar,"Rs.7,990 - 9,308/sq. ft.","7,990 - 9,308",7990,9308,8649,-2.39%,"Rs.10,481 - 12,136","10,481 - 12,136",10481,12136,11308.5,131%,"Rs.15,927 - 18,582","15,927 - 18,582",15927,18582,17254.5,199%,,,,,,
Sector 21 Nerul,"Rs.10,668 - 12,452/sq. ft.","10,668 - 12,452",10668,12452,11560,-2.17%,"Rs.14,025 - 15,895","14,025 - 15,895",14025,15895,14960,129%,"Rs.20,597 - 22,974","20,597 - 22,974",20597,22974,21785.5,188%,,,,,,
Sector 21 Ulwe,"Rs.6,800 - 7,650/sq. ft.","6,800 - 7,650",6800,7650,7225,5.63%,"Rs.5,338 - 5,872","5,338 - 5,872",5338,5872,5605,78%,"Rs.7,941 - 10,588","7,941 - 10,588",7941,10588,9264.5,128%,"Rs.12,452 - 14,943","12,452 - 14,943",12452,14943,13697.5,190%
Sector 22 Kamothe,"Rs.6,120 - 6,800/sq. ft.","6,120 - 6,800",6120,6800,6460,2.68%,"Rs.7,318 - 7,841","7,318 - 7,841",7318,7841,7579.5,117%,"Rs.11,050 - 11,900","11,050 - 11,900",11050,11900,11475,178%,"Rs.14,749 - 15,978","14,749 - 15,978",14749,15978,15363.5,238%
Sector 23 Nerul,"Rs.10,965 - 12,452/sq. ft.","10,965 - 12,452",10965,12452,11708.5,5.36%,"Rs.12,622 - 13,558","12,622 - 13,558",12622,13558,13090,112%,"Rs.16,958 - 20,995","16,958 - 20,995",16958,20995,18976.5,162%,,,,,,
Sector 23 Ulwe,"Rs.6,588 - 7,352/sq. ft.","6,588 - 7,352",6588,7352,6970,4.43%,,,,,,,,,,,,,,,,,,
Sector 25 Nerul,"Rs.11,390 - 12,835/sq. ft.","11,390 - 12,835",11390,12835,12112.5,-7.28%,,,,,,,"Rs.23,541 - 25,976","23,541 - 25,976",23541,25976,24758.5,204%,,,,,,
Sector 26 Vashi,"Rs.9,690 - 11,135/sq. ft.","9,690 - 11,135",9690,11135,10412.5,-2.81%,"Rs.13,614 - 16,045","13,614 - 16,045",13614,16045,14829.5,142%,"Rs.21,128 - 25,191","21,128 - 25,191",21128,25191,23159.5,222%,,,,,,
Sector 28 Vashi,"Rs.9,690 - 11,772/sq. ft.","9,690 - 11,772",9690,11772,10731,-0.79%,"Rs.15,708 - 18,326","15,708 - 18,326",15708,18326,17017,159%,"Rs.19,550 - 23,800","19,550 - 23,800",19550,23800,21675,202%,"Rs.29,804 - 34,772","29,804 - 34,772",29804,34772,32288,301%
Sector 29 Vashi,"Rs.14,110 - 16,235/sq. ft.","14,110 - 16,235",14110,16235,15172.5,-7.75%,,,,,,,"Rs.23,837 - 27,946","23,837 - 27,946",23837,27946,25891.5,171%,,,,,,
Sector 30 Kharghar,"Rs.5,780 - 6,715/sq. ft.","5,780 - 6,715",5780,6715,6247.5,0%,,,,,,,,,,,,,,,,,,
Sector 34 Kamothe,"Rs.6,502 - 7,225/sq. ft.","6,502 - 7,225",6502,7225,6863.5,-1.23%,"Rs.7,535 - 8,540","7,535 - 8,540",7535,8540,8037.5,117%,"Rs.12,928 - 16,376","12,928 - 16,376",12928,16376,14652,213%,,,,,,
Sector 34C Kharghar,"Rs.6,800 - 7,990/sq. ft.","6,800 - 7,990",6800,7990,7395,14.1%,,,,,,,"Rs.13,090 - 15,895","13,090 - 15,895",13090,15895,14492.5,196%,,,,,,
Sector 35I Kharghar,"Rs.7,055 - 7,948/sq. ft.","7,055 - 7,948",7055,7948,7501.5,-1.69%,"Rs.9,486 - 10,540","9,486 - 10,540",9486,10540,10013,133%,"Rs.12,750 - 15,300","12,750 - 15,300",12750,15300,14025,187%,"Rs.16,934 - 20,562","16,934 - 20,562",16934,20562,18748,250%
Sector 36 Kamothe,"Rs.6,672 - 7,395/sq. ft.","6,672 - 7,395",6672,7395,7033.5,2.45%,"Rs.7,535 - 8,540","7,535 - 8,540",7535,8540,8037.5,114%,"Rs.10,608 - 12,240","10,608 - 12,240",10608,12240,11424,162%,,,,,,
Sector 36 Kharghar,"Rs.6,630 - 7,352/sq. ft.","6,630 - 7,352",6630,7352,6991,-4.07%,"Rs.6,450 - 6,910","6,450 - 6,910",6450,6910,6680,96%,"Rs.13,426 - 15,216","13,426 - 15,216",13426,15216,14321,205%,"Rs.17,802 - 21,617","17,802 - 21,617",17802,21617,19709.5,282%
Sector 36 Seawoods,"Rs.9,690 - 11,475/sq. ft.","9,690 - 11,475",9690,11475,10582.5,-4.37%,,,,,,,,,,,,,,,,,,
