,Neighborhood,arts_culture_recreation,bars_nightlife,business_hub,café_fastfoods,cuisine_restaurants,education_colleges,kids_family_residential,nature_view,regular_restaurants,shopping,sports_fitness,stores_daily_conveniences,tourist_interest,transport_vicinity,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Mapping
90,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Grecko,19.070260522685086,72.82281130160979,Greek Restaurant,cuisine_restaurants
91,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,The Bagel Shop,19.063140391211206,72.82490212775264,Bagel Shop,café_fastfoods
92,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Coffee by Dibella,19.066460018490385,72.83340907751312,Coffee Shop,café_fastfoods
93,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Janta Bar,19.063076976375054,72.82941090308013,Bar,bars_nightlife
94,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Shatranj Napoli,19.071727,72.824904,Italian Restaurant,cuisine_restaurants
95,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Yoga house,19.06560896113668,72.82478697573748,Café,
96,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Mad Over Donuts,19.07094322463995,72.82334308959537,Donut Shop,café_fastfoods
97,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0708218,72.8288647,Love And Cheesecake,19.07068328131204,72.82272437684694,Bakery,stores_daily_conveniences
98,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Pizza Metro Pizza,19.07007253727043,72.82922724645606,Italian Restaurant,cuisine_restaurants
99,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Bombay Adda,19.075872187824217,72.83401688106666,Lounge,bars_nightlife
100,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Baskin Robbins,19.071206448628136,72.82386723948176,Ice Cream Shop,café_fastfoods
101,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Starbucks,19.065389703743712,72.83330501303864,Coffee Shop,café_fastfoods
102,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Polpo Cafe & Bar,19.071806819393586,72.82482213166061,Lounge,bars_nightlife
103,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,The Bar Stock Exchange,19.06550874861228,72.8341912065372,Pub,bars_nightlife
104,Ambedkar Nagar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Le Sutra,19.07182280873484,72.82527687395375,Event Space,arts_culture_recreation
105,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.0708218,72.8288647,Khar Gymkhana - Poolside,19.070447636428646,72.83160487452561,Pool,sports_fitness
106,Ambedkar Nagar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.0708218,72.8288647,Carters,19.06392440542608,72.82289785406695,Scenic Lookout,nature_view
107,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Radio Bar,19.06958857738971,72.83368998683528,Bar,bars_nightlife
